Game Name,Release Date,Price,Categories,User Tags,Developer,Publisher,Review Level,Review Detail
Counter-Strike 2,21-Aug-12,$129.84 ,"Action, Free To Play","FPS, Shooter, Multiplayer, Competitive, Action, Team-Based, eSports, Tactical, First-Person, PvP, Online Co-Op, Co-op, Strategy, Military, War, Difficult, Trading, Realistic, Fast-Paced, Moddable, +, ",Valve,Valve,Very Positive,"- 86% of the 8,415,951 user reviews for this game are positive."
Call of Duty®: Black Ops 6,24-Oct-24,$69.99 ,Action,"Action, Shooter, Multiplayer, FPS, Singleplayer, First-Person, Military, PvP, War, Capitalism, Violent, Story Rich, Co-op, Gore, Realistic, PvE, Online Co-Op, Romance, Open World, Co-op Campaign, +, ",Treyarch,Activision,Mixed,"- 56% of the 7,650 user reviews for this game are positive."
Baldur's Gate 3,3-Aug-23,$59.99 ,"Adventure, RPG, Strategy","RPG, Character Customization, Choices Matter, Story Rich, Turn-Based Combat, Dungeons & Dragons, CRPG, Adventure, Fantasy, Online Co-Op, Romance, Multiplayer, Sexual Content, Strategy, Singleplayer, Co-op Campaign, Class-Based, Dark Fantasy, Nudity, Combat, +, ",Larian Studios,Larian Studios,Overwhelmingly Positive,"- 96% of the 607,907 user reviews for this game are positive."
Cyberpunk 2077,9-Dec-20,$59.99 ,RPG,"Cyberpunk, Open World, Nudity, RPG, Singleplayer, Sci-fi, FPS, Futuristic, Mature, Story Rich, First-Person, Atmospheric, Exploration, Action, Violent, Great Soundtrack, Action RPG, Adventure, Character Customization, Immersive Sim, +, ",CD PROJEKT RED,CD PROJEKT RED,Very Positive,"- 84% of the 695,169 user reviews for this game are positive.This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score."
S.T.A.L.K.E.R. 2: Heart of Chornobyl,20-Nov-24,$59.99 ,"Action, Adventure, RPG","Open World, FPS, Post-apocalyptic, Survival, Atmospheric, Shooter, Singleplayer, RPG, Exploration, Story Rich, Action, First-Person, Lore-Rich, Nonlinear, Sci-fi, Multiple Endings, Immersive Sim, Choices Matter, Realistic, Cinematic, +, ",GSC Game World,GSC Game World (worldwide),Very Positive,"- 82% of the 50,592 user reviews for this game are positive."
"Warhammer 40,000: Space Marine 2",9-Sep-24,$59.99 ,"Action, Adventure, RPG","Warhammer 40K, Action, Third-Person Shooter, Multiplayer, Co-op, PvE, Adventure, Action-Adventure, Third Person, Wargame, Sci-fi, 3D, Fantasy, Narration, War, Space, Singleplayer, Realistic, Cinematic, Futuristic, +, ",Saber Interactive,Focus Entertainment,Very Positive,"- 82% of the 94,468 user reviews for this game are positive."
Call of Duty®: Warzone™,16-Nov-22,Free,"Action, Free To Play","Free to Play, FPS, Multiplayer, Battle Royale, Action, Shooter, Violent, Singleplayer, First-Person, Gore, Military, PvP, Online Co-Op, Survival, Co-op, Realistic, Open World, Third Person, Adventure, Atmospheric, +, ",Infinity Ward,Activision,Mostly Negative,"- 32% of the 39,972 user reviews for this game are positive."
Path of Exile 2,Coming soon,$29.99 ,"Action, Adventure, Massively Multiplayer, RPG, Early Access","Early Access, Action RPG, Free to Play, Hack and Slash, Action, Adventure, RPG, MMORPG, Dungeon Crawler, Isometric, Dark Fantasy, Loot, Character Customization, Horror, Crafting, Multiplayer, Inventory Management, Online Co-Op, Singleplayer, Dark, +, ",Grinding Gear Games,Grinding Gear Games,No user reviews,No user reviews
NBA 2K25,28-Oct-24,$69.99 ,"Simulation, Sports","Sports, Basketball, Simulation, eSports, 3D, Management, Immersive Sim, PvP, Character Customization, Controller, Team-Based, Deckbuilding, Trading, Co-op, Local Co-Op, Local Multiplayer, Multiplayer, Online Co-Op, Singleplayer, 4 Player Local, +, ",Visual Concepts,2K,Mixed,"- 58% of the 8,270 user reviews for this game are positive."
Metaphor: ReFantazio,10-Oct-24,$69.99 ,"Action, Adventure, RPG","RPG, Anime, JRPG, Turn-Based Combat, Adventure, Story Rich, Time Management, Turn-Based Strategy, Singleplayer, Action RPG, Dark Fantasy, Party-Based RPG, Fantasy, Third Person, Colorful, Strategy RPG, Strategy, Choose Your Own Adventure, Hack and Slash, Turn-Based Tactics, +, ",ATLUS,SEGA,Very Positive,"- 91% of the 12,486 user reviews for this game are positive."
